Date,Close
01/06/2018,6284
02/06/2018,6484
03/06/2018,6434
04/06/2018,6384
05/06/2018,6334
06/06/2018,6434
07/06/2018,6522
08/06/2018,6612
09/06/2018,6562
10/06/2018,6512
11/06/2018,6462
12/06/2018,6662
13/06/2018,6750
14/06/2018,6700
15/06/2018,6650
16/06/2018,6600
17/06/2018,6550
18/06/2018,6688
19/06/2018,6638
20/06/2018,6588
21/06/2018,6538
22/06/2018,6488
23/06/2018,6438
24/06/2018,6388
25/06/2018,6338
26/06/2018,6288
27/06/2018,6238
28/06/2018,6413
29/06/2018,6363
30/06/2018,6313
01/07/2018,6263
02/07/2018,6363
03/07/2018,6457
04/07/2018,6407
05/07/2018,6574
06/07/2018,6749
07/07/2018,6699
08/07/2018,6793
09/07/2018,6906
10/07/2018,6856
11/07/2018,6806
12/07/2018,6756
13/07/2018,6706
14/07/2018,6656
15/07/2018,6606
16/07/2018,6856
17/07/2018,6806
18/07/2018,6756
19/07/2018,6706
20/07/2018,6806
21/07/2018,6756
23/07/2018,6831
24/07/2018,6781
26/07/2018,6731
27/07/2018,6681
28/07/2018,6631
29/07/2018,6756
30/07/2018,6706
31/07/2018,6656
01/08/2018,6606
02/08/2018,6556
03/08/2018,6598
04/08/2018,6548
05/08/2018,6603
06/08/2018,6553
07/08/2018,6503
08/08/2018,6453
09/08/2018,6403
10/08/2018,6516
11/08/2018,6466
12/08/2018,6416
13/08/2018,6366
14/08/2018,6316
15/08/2018,6482
16/08/2018,6432
17/08/2018,6382
18/08/2018,6332
19/08/2018,6282
20/08/2018,6232
21/08/2018,6182
22/08/2018,6132
23/08/2018,6082
24/08/2018,6032
25/08/2018,6095
26/08/2018,6045
28/08/2018,6158
29/08/2018,6108
30/08/2018,6333
31/08/2018,6508
01/09/2018,7008
02/09/2018,6958
03/09/2018,6908
04/09/2018,6858
05/09/2018,6808
06/09/2018,6975
07/09/2018,6925
08/09/2018,7125
09/09/2018,7075
10/09/2018,7025
11/09/2018,6975
13/09/2018,6925
14/09/2018,7175
15/09/2018,7125
16/09/2018,7075
17/09/2018,7025
18/09/2018,6975
19/09/2018,6925
20/09/2018,7091
21/09/2018,7216
22/09/2018,7166
24/09/2018,7116
25/09/2018,7066
26/09/2018,7291
27/09/2018,7241
28/09/2018,7541
29/09/2018,7491
30/09/2018,7441
01/10/2018,7391
02/10/2018,7341
03/10/2018,7566
04/10/2018,7516
05/10/2018,7616
06/10/2018,7566
07/10/2018,7516
08/10/2018,7466
09/10/2018,7416
10/10/2018,7366
11/10/2018,7491
12/10/2018,7441
13/10/2018,7391
14/10/2018,7341
15/10/2018,7291
16/10/2018,7241
17/10/2018,7379
18/10/2018,7329
19/10/2018,7279
20/10/2018,8079
21/10/2018,8121
22/10/2018,8071
23/10/2018,8021
25/10/2018,7971
26/10/2018,7921
27/10/2018,7871
28/10/2018,7821
29/10/2018,7921
30/10/2018,7871
31/10/2018,7821
01/11/2018,7771
02/11/2018,7721
03/11/2018,7671
04/11/2018,7621
05/11/2018,7571
06/11/2018,7521
07/11/2018,7471
08/11/2018,7421
09/11/2018,7771
10/11/2018,7721
11/11/2018,7671
12/11/2018,7621
13/11/2018,7571
14/11/2018,7746
15/11/2018,7884
16/11/2018,7834
17/11/2018,7784
18/11/2018,7734
19/11/2018,7872
20/11/2018,7822
21/11/2018,7960
22/11/2018,8126
23/11/2018,8293
24/11/2018,8243
25/11/2018,8331
26/11/2018,8281
27/11/2018,8231
28/11/2018,8181
29/11/2018,8275
30/11/2018,8225
01/12/2018,8175
02/12/2018,8125
03/12/2018,8194
04/12/2018,8419
05/12/2018,8369
06/12/2018,8319
07/12/2018,8269
08/12/2018,8219
09/12/2018,8169
10/12/2018,8307
11/12/2018,8257
12/12/2018,8207
13/12/2018,8157
14/12/2018,8107
15/12/2018,8057
16/12/2018,8107
17/12/2018,8332
18/12/2018,8607
19/12/2018,8701
20/12/2018,8901
21/12/2018,8851
22/12/2018,8801
26/12/2018,8751
27/12/2018,8701
28/12/2018,8651
29/12/2018,8726
30/12/2018,8676
01/01/2019,8626
02/01/2019,8576
03/01/2019,8776
04/01/2019,8851
05/01/2019,9076
06/01/2019,9026
07/01/2019,8976
08/01/2019,8926
09/01/2019,8876
10/01/2019,8964
11/01/2019,9046
12/01/2019,8996
14/01/2019,8946
15/01/2019,9021
16/01/2019,8971
17/01/2019,9371
19/01/2019,9321
20/01/2019,9271
21/01/2019,9221
22/01/2019,9171
24/01/2019,9121
25/01/2019,9071
26/01/2019,9021
27/01/2019,9081
28/01/2019,9031
29/01/2019,8981
31/01/2019,8931
02/02/2019,9012
03/02/2019,9162
04/02/2019,9112
05/02/2019,9062
06/02/2019,9156
13/02/2019,9106
14/02/2019,9200
15/02/2019,9150
16/02/2019,9100
17/02/2019,9050
18/02/2019,9079
19/02/2019,9029
20/02/2019,9142
21/02/2019,9192
22/02/2019,9142
23/02/2019,9092
24/02/2019,9042
25/02/2019,8992
26/02/2019,8942
27/02/2019,9117
28/02/2019,9067
01/03/2019,9142
02/03/2019,9280
05/03/2019,9230
06/03/2019,9180
07/03/2019,9130
08/03/2019,9080
09/03/2019,9030
10/03/2019,8980
11/03/2019,8930
12/03/2019,8880
13/03/2019,8949
14/03/2019,8899
15/03/2019,8849
16/03/2019,8799
17/03/2019,8749
18/03/2019,8699
19/03/2019,8799
20/03/2019,8749
21/03/2019,8699
22/03/2019,8649
23/03/2019,8599
24/03/2019,8549
25/03/2019,8499
26/03/2019,8449
27/03/2019,8399
28/03/2019,8512
29/03/2019,8462
30/03/2019,8412
02/04/2019,8362
03/04/2019,8404
04/04/2019,8354
05/04/2019,8304
06/04/2019,8254
08/04/2019,8654
09/04/2019,8779
10/04/2019,8729
11/04/2019,8679
12/04/2019,8629
13/04/2019,8579
14/04/2019,8529
15/04/2019,8479
16/04/2019,8854
17/04/2019,8804
18/04/2019,8754
19/04/2019,8704
20/04/2019,8654
21/04/2019,8604
22/04/2019,8554
23/04/2019,8599
24/04/2019,8549
25/04/2019,8799
26/04/2019,8749
27/04/2019,8699
28/04/2019,8649
29/04/2019,8599
30/04/2019,8549
01/05/2019,8591
02/05/2019,8541
03/05/2019,8577
04/05/2019,8527
05/05/2019,8477
06/05/2019,8427
07/05/2019,8467
08/05/2019,8417
09/05/2019,8480
10/05/2019,8430
11/05/2019,8380
12/05/2019,8330
13/05/2019,8280
14/05/2019,8430
15/05/2019,8380
16/05/2019,8330
17/05/2019,8280
18/05/2019,8230
19/05/2019,8180
20/05/2019,8130
21/05/2019,8080
22/05/2019,8030
23/05/2019,8143
24/05/2019,8268
25/05/2019,8218
26/05/2019,8168
27/05/2019,8118
28/05/2019,8068
29/05/2019,8018
30/05/2019,8038
31/05/2019,7988
01/06/2019,7938
02/06/2019,8213
03/06/2019,8273
04/06/2019,8223
05/06/2019,8389
06/06/2019,8489
07/06/2019,8439
08/06/2019,8389
09/06/2019,8339
10/06/2019,8289
11/06/2019,8239
12/06/2019,8189
13/06/2019,8139
14/06/2019,8089
15/06/2019,8039
16/06/2019,7989
17/06/2019,7939
18/06/2019,7889
19/06/2019,7839
20/06/2019,7789
21/06/2019,7739
23/06/2019,7689
24/06/2019,7639
25/06/2019,7589
26/06/2019,7539
27/06/2019,7652
28/06/2019,7692
29/06/2019,7642
30/06/2019,7592
01/07/2019,7542
02/07/2019,7602
03/07/2019,7552
04/07/2019,7607
05/07/2019,7557
06/07/2019,7507
07/07/2019,7457
09/07/2019,7407
10/07/2019,7357
11/07/2019,7307
13/07/2019,7257
14/07/2019,7332
15/07/2019,7282
16/07/2019,7232
17/07/2019,7182
18/07/2019,7432
19/07/2019,7382
20/07/2019,7332
21/07/2019,7382
22/07/2019,7495
23/07/2019,7633
24/07/2019,7583
25/07/2019,7533
26/07/2019,7573
27/07/2019,7523
28/07/2019,7473
29/07/2019,7533
30/07/2019,7483
31/07/2019,7433
01/08/2019,7383
02/08/2019,7333
03/08/2019,7283
04/08/2019,7233
05/08/2019,7308
06/08/2019,7258
07/08/2019,7283
08/08/2019,7346
09/08/2019,7296
10/08/2019,7521
11/08/2019,7621
12/08/2019,7571
13/08/2019,7521
14/08/2019,7602
15/08/2019,7647
16/08/2019,7597
17/08/2019,7547
18/08/2019,7497
19/08/2019,7447
20/08/2019,7597
21/08/2019,7547
22/08/2019,7497
23/08/2019,7447
24/08/2019,7397
25/08/2019,7347
26/08/2019,7422
27/08/2019,7647
28/08/2019,7597
29/08/2019,7678
30/08/2019,7628
31/08/2019,7578
01/09/2019,7528
02/09/2019,7597
03/09/2019,7547
04/09/2019,7497
05/09/2019,7622
06/09/2019,7572
07/09/2019,7522
08/09/2019,7591
09/09/2019,7541
10/09/2019,7491
11/09/2019,7441
12/09/2019,7504
13/09/2019,7454
14/09/2019,7504
15/09/2019,7598
16/09/2019,7548
17/09/2019,7498
18/09/2019,7558
19/09/2019,7733
20/09/2019,7821
21/09/2019,7771
